uniprot_id,protein,gene,description
Q96KP4,CNDP2_HUMAN,CNDP2,Cytosolic non-specific dipeptidase
Q9P003,CNIH4_HUMAN,CNIH4,Protein cornichon homolog 4
Q9Y2B0,CNPY2_HUMAN,CNPY2,Protein canopy homolog 2
Q9Y2R0,COA3_HUMAN,COA3,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial"
Q5JTJ3,COA6_HUMAN,COA6,Cytochrome c oxidase assembly factor 6 homolog
Q13057,COASY_HUMAN,COASY,Bifunctional coenzyme A synthase
O75128,COBL_HUMAN,COBL,Protein cordon-bleu
Q05707,COEA1_HUMAN,COL14A1,Collagen alpha-1(XIV) chain
P39059,COFA1_HUMAN,COL15A1,Collagen alpha-1(XV) chain
P39060,COIA1_HUMAN,COL18A1,Collagen alpha-1(XVIII) chain
P02452,CO1A1_HUMAN,COL1A1,Collagen alpha-1(I) chain
P08123,CO1A2_HUMAN,COL1A2,Collagen alpha-2(I) chain
P02461,CO3A1_HUMAN,COL3A1,Collagen alpha-1(III) chain
P02462,CO4A1_HUMAN,COL4A1,Collagen alpha-1(IV) chain
P08572,CO4A2_HUMAN,COL4A2,Collagen alpha-2(IV) chain
P29400,CO4A5_HUMAN,COL4A5,Collagen alpha-5(IV) chain
P12109,CO6A1_HUMAN,COL6A1,Collagen alpha-1(VI) chain
P12110,CO6A2_HUMAN,COL6A2,Collagen alpha-2(VI) chain
P12111,CO6A3_HUMAN,COL6A3,Collagen alpha-3(VI) chain
Q02388,CO7A1_HUMAN,COL7A1,Collagen alpha-1(VII) chain
Q7Z4G1,COMD6_HUMAN,COMMD6,COMM domain-containing protein 6
Q86VX2,COMD7_HUMAN,COMMD7,COMM domain-containing protein 7
P21964,COMT_HUMAN,COMT,Catechol O-methyltransferase
P53621,COPA_HUMAN,COPA,Coatomer subunit alpha
P35606,COPB2_HUMAN,COPB2,Coatomer subunit beta'
Q9Y678,COPG1_HUMAN,COPG1,Coatomer subunit gamma-1
P61201,CSN2_HUMAN,COPS2,COP9 signalosome complex subunit 2
Q9UNS2,CSN3_HUMAN,COPS3,COP9 signalosome complex subunit 3
Q9BT78,CSN4_HUMAN,COPS4,COP9 signalosome complex subunit 4
Q92905,CSN5_HUMAN,COPS5,COP9 signalosome complex subunit 5
Q7L5N1,CSN6_HUMAN,COPS6,COP9 signalosome complex subunit 6
Q9UBW8,CSN7A_HUMAN,COPS7A,COP9 signalosome complex subunit 7a
Q9H9Q2,CSN7B_HUMAN,COPS7B,COP9 signalosome complex subunit 7b
Q99627,CSN8_HUMAN,COPS8,COP9 signalosome complex subunit 8
Q96MF6,CQ10A_HUMAN,COQ10A,"Coenzyme Q-binding protein COQ10 homolog A, mitochondrial"
Q9H8M1,CQ10B_HUMAN,COQ10B,"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial"
Q9NZJ6,COQ3_HUMAN,COQ3,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
Q5HYK3,COQ5_HUMAN,COQ5,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"
Q9Y2Z9,COQ6_HUMAN,COQ6,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial"
Q99807,COQ7_HUMAN,COQ7,"5-demethoxyubiquinone hydroxylase, mitochondrial"
Q8NI60,COQ8A_HUMAN,COQ8A,"Atypical kinase COQ8A, mitochondrial"
O75208,COQ9_HUMAN,COQ9,"Ubiquinone biosynthesis protein COQ9, mitochondrial"
Q9BR76,COR1B_HUMAN,CORO1B,Coronin-1B
Q6QEF8,CORO6_HUMAN,CORO6,Coronin-6
Q9Y6N1,COX11_HUMAN,COX11,"Cytochrome c oxidase assembly protein COX11, mitochondrial"
Q14061,COX17_HUMAN,COX17,Cytochrome c oxidase copper chaperone
P13073,COX41_HUMAN,COX4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"
P20674,COX5A_HUMAN,COX5A,"Cytochrome c oxidase subunit 5A, mitochondrial"
P10606,COX5B_HUMAN,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial"
Q02221,CX6A2_HUMAN,COX6A2,"Cytochrome c oxidase subunit 6A2, mitochondrial"
P14854,CX6B1_HUMAN,COX6B1,Cytochrome c oxidase subunit 6B1
P09669,COX6C_HUMAN,COX6C,Cytochrome c oxidase subunit 6C
P24310,CX7A1_HUMAN,COX7A1,"Cytochrome c oxidase subunit 7A1, mitochondrial"
P14406,CX7A2_HUMAN,COX7A2,"Cytochrome c oxidase subunit 7A2, mitochondrial"
O14548,COX7R_HUMAN,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial"
P24311,COX7B_HUMAN,COX7B,"Cytochrome c oxidase subunit 7B, mitochondrial"
P15954,COX7C_HUMAN,COX7C,"Cytochrome c oxidase subunit 7C, mitochondrial"
P10176,COX8A_HUMAN,COX8A,"Cytochrome c oxidase subunit 8A, mitochondrial"
P00450,CERU_HUMAN,CP,Ceruloplasmin
P15088,CBPA3_HUMAN,CPA3,Mast cell carboxypeptidase A
Q99829,CPNE1_HUMAN,CPNE1,Copine-1
O75131,CPNE3_HUMAN,CPNE3,Copine-3
Q9BRF8,CPPED_HUMAN,CPPED1,Serine/threonine-protein phosphatase CPPED1
P50416,CPT1A_HUMAN,CPT1A,"Carnitine O-palmitoyltransferase 1, liver isoform"
Q92523,CPT1B_HUMAN,CPT1B,"Carnitine O-palmitoyltransferase 1, muscle isoform"
P23786,CPT2_HUMAN,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial"
P43155,CACP_HUMAN,CRAT,Carnitine O-acetyltransferase
Q96HD1,CREL1_HUMAN,CRELD1,Protein disulfide isomerase CRELD1
P52943,CRIP2_HUMAN,CRIP2,Cysteine-rich protein 2
P46109,CRKL_HUMAN,CRKL,Crk-like protein
P02511,CRYAB_HUMAN,CRYAB,Alpha-crystallin B chain
Q68DQ2,CRBG3_HUMAN,CRYBG3,Very large A-kinase anchor protein
Q08257,QOR_HUMAN,CRYZ,Quinone oxidoreductase
O75390,CISY_HUMAN,CS,"Citrate synthase, mitochondrial"
O75534,CSDE1_HUMAN,CSDE1,Cold shock domain-containing protein E1
P55060,XPO2_HUMAN,CSE1L,Exportin-2
P68400,CSK21_HUMAN,CSNK2A1,Casein kinase II subunit alpha
P67870,CSK2B_HUMAN,CSNK2B,Casein kinase II subunit beta
P21291,CSRP1_HUMAN,CSRP1,Cysteine and glycine-rich protein 1
P50461,CSRP3_HUMAN,CSRP3,Cysteine and glycine-rich protein 3
P01034,CYTC_HUMAN,CST3,Cystatin-C
P01040,CYTA_HUMAN,CSTA,Cystatin-A
P04080,CYTB_HUMAN,CSTB,Cystatin-B
Q13363,CTBP1_HUMAN,CTBP1,C-terminal-binding protein 1
P35221,CTNA1_HUMAN,CTNNA1,Catenin alpha-1
P07858,CATB_HUMAN,CTSB,Cathepsin B
P07339,CATD_HUMAN,CTSD,Cathepsin D
P08311,CATG_HUMAN,CTSG,Cathepsin G
Q9UBR2,CATZ_HUMAN,CTSZ,Cathepsin Z
Q14247,SRC8_HUMAN,CTTN,Src substrate cortactin
Q13616,CUL1_HUMAN,CUL1,Cullin-1
Q13617,CUL2_HUMAN,CUL2,Cullin-2
Q13618,CUL3_HUMAN,CUL3,Cullin-3
Q13619,CUL4A_HUMAN,CUL4A,Cullin-4A
Q93034,CUL5_HUMAN,CUL5,Cullin-5
O60888,CUTA_HUMAN,CUTA,Protein CutA
Q9NTM9,CUTC_HUMAN,CUTC,Copper homeostasis protein cutC homolog
P00167,CYB5_HUMAN,CYB5A,Cytochrome b5
O43169,CYB5B_HUMAN,CYB5B,Cytochrome b5 type B
Q9UHQ9,NB5R1_HUMAN,CYB5R1,NADH-cytochrome b5 reductase 1
P00387,NB5R3_HUMAN,CYB5R3,NADH-cytochrome b5 reductase 3
P08574,CY1_HUMAN,CYC1,"Cytochrome c1, heme protein, mitochondrial"
P99999,CYC_HUMAN,CYCS,Cytochrome c
Q9NWV4,CZIB_HUMAN,CZIB,CXXC motif containing zinc binding protein
P61803,DAD1_HUMAN,DAD1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1
Q14118,DAG1_HUMAN,DAG1,Dystroglycan
P14868,SYDC_HUMAN,DARS1,"Aspartate--tRNA ligase, cytoplasmic"
Q96EP5,DAZP1_HUMAN,DAZAP1,DAZ-associated protein 1
P07108,ACBP_HUMAN,DBI,Acyl-CoA-binding protein
Q9UJU6,DBNL_HUMAN,DBNL,Drebrin-like protein
P11182,ODB2_HUMAN,DBT,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial"
Q58WW2,DCAF6_HUMAN,DCAF6,DDB1- and CUL4-associated factor 6
Q5TAQ9,DCAF8_HUMAN,DCAF8,DDB1- and CUL4-associated factor 8
P81605,DCD_HUMAN,DCD,Dermcidin
P07585,PGS2_HUMAN,DCN,Decorin
Q96C86,DCPS_HUMAN,DCPS,m7GpppX diphosphatase
Q14203,DCTN1_HUMAN,DCTN1,Dynactin subunit 1
Q13561,DCTN2_HUMAN,DCTN2,Dynactin subunit 2
O75935,DCTN3_HUMAN,DCTN3,Dynactin subunit 3
Q9UJW0,DCTN4_HUMAN,DCTN4,Dynactin subunit 4
Q9BTE1,DCTN5_HUMAN,DCTN5,Dynactin subunit 5
O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6
Q9H773,DCTP1_HUMAN,DCTPP1,dCTP pyrophosphatase 1
Q96GG9,DCNL1_HUMAN,DCUN1D1,DCN1-like protein 1
Q7Z4W1,DCXR_HUMAN,DCXR,L-xylulose reductase
O94760,DDAH1_HUMAN,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
O95865,DDAH2_HUMAN,DDAH2,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2"
Q16531,DDB1_HUMAN,DDB1,DNA damage-binding protein 1
Q5TDH0,DDI2_HUMAN,DDI2,Protein DDI1 homolog 2
P39656,OST48_HUMAN,DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit
Q96HY6,DDRGK_HUMAN,DDRGK1,DDRGK domain-containing protein 1
P30046,DOPD_HUMAN,DDT,D-dopachrome decarboxylase
Q92499,DDX1_HUMAN,DDX1,ATP-dependent RNA helicase DDX1
Q92841,DDX17_HUMAN,DDX17,Probable ATP-dependent RNA helicase DDX17
Q9NUU7,DD19A_HUMAN,DDX19A,ATP-dependent RNA helicase DDX19A
Q13838,DX39B_HUMAN,DDX39B,Spliceosome RNA helicase DDX39B
O00571,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X
P26196,DDX6_HUMAN,DDX6,Probable ATP-dependent RNA helicase DDX6
Q16698,DECR_HUMAN,DECR1,"2,4-dienoyl-CoA reductase, mitochondrial"
P59666,DEF3_HUMAN,DEFA3,Neutrophil defensin 3
P35659,DEK_HUMAN,DEK,Protein DEK
Q6IQ26,DEN5A_HUMAN,DENND5A,DENN domain-containing protein 5A
O43583,DENR_HUMAN,DENR,Density-regulated protein
Q8TB45,DPTOR_HUMAN,DEPTOR,DEP domain-containing mTOR-interacting protein
P17661,DESM_HUMAN,DES,Desmin
Q7Z3D6,GLUCM_HUMAN,DGLUCY,"D-glutamate cyclase, mitochondrial"
Q15392,DHC24_HUMAN,DHCR24,Delta(24)-sterol reductase
Q6UWP2,DHR11_HUMAN,DHRS11,Dehydrogenase/reductase SDR family member 11
Q9BTZ2,DHRS4_HUMAN,DHRS4,Dehydrogenase/reductase SDR family member 4
Q9Y394,DHRS7_HUMAN,DHRS7,Dehydrogenase/reductase SDR family member 7
Q6IAN0,DRS7B_HUMAN,DHRS7B,Dehydrogenase/reductase SDR family member 7B
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C
O43143,DHX15_HUMAN,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15
Q08211,DHX9_HUMAN,DHX9,ATP-dependent RNA helicase A
Q9NR28,DBLOH_HUMAN,DIABLO,"Diablo homolog, mitochondrial"
P10515,ODP2_HUMAN,DLAT,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
P09622,DLDH_HUMAN,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial"
P36957,ODO2_HUMAN,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"
Q99766,ATP5S_HUMAN,DMAC2L,"ATP synthase subunit s, mitochondrial"
P11532,DMD_HUMAN,DMD,Dystrophin
P31689,DNJA1_HUMAN,DNAJA1,DnaJ homolog subfamily A member 1
O60884,DNJA2_HUMAN,DNAJA2,DnaJ homolog subfamily A member 2
Q96EY1,DNJA3_HUMAN,DNAJA3,"DnaJ homolog subfamily A member 3, mitochondrial"
Q8WW22,DNJA4_HUMAN,DNAJA4,DnaJ homolog subfamily A member 4
P25686,DNJB2_HUMAN,DNAJB2,DnaJ homolog subfamily B member 2
Q9UDY4,DNJB4_HUMAN,DNAJB4,DnaJ homolog subfamily B member 4
Q9NVH1,DJC11_HUMAN,DNAJC11,DnaJ homolog subfamily C member 11
O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein
P50570,DYN2_HUMAN,DNM2,Dynamin-2
Q9ULA0,DNPEP_HUMAN,DNPEP,Aspartyl aminopeptidase
O43598,DNPH1_HUMAN,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1
Q9P2X0,DPM3_HUMAN,DPM3,Dolichol-phosphate mannosyltransferase subunit 3
Q9NY33,DPP3_HUMAN,DPP3,Dipeptidyl peptidase 3
Q9UHL4,DPP2_HUMAN,DPP7,Dipeptidyl peptidase 2
Q07507,DERM_HUMAN,DPT,Dermatopontin
Q16555,DPYL2_HUMAN,DPYSL2,Dihydropyrimidinase-related protein 2
Q14195,DPYL3_HUMAN,DPYSL3,Dihydropyrimidinase-related protein 3
P55039,DRG2_HUMAN,DRG2,Developmentally-regulated GTP-binding protein 2
P60981,DEST_HUMAN,DSTN,Destrin
Q8TEA8,DTD1_HUMAN,DTD1,D-aminoacyl-tRNA deacylase 1
Q9Y4J8,DTNA_HUMAN,DTNA,Dystrobrevin alpha
P51452,DUS3_HUMAN,DUSP3,Dual specificity protein phosphatase 3
Q14204,DYHC1_HUMAN,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1
Q13409,DC1I2_HUMAN,DYNC1I2,Cytoplasmic dynein 1 intermediate chain 2
Q9Y6G9,DC1L1_HUMAN,DYNC1LI1,Cytoplasmic dynein 1 light intermediate chain 1
O43237,DC1L2_HUMAN,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2
P63167,DYL1_HUMAN,DYNLL1,"Dynein light chain 1, cytoplasmic"
Q96FJ2,DYL2_HUMAN,DYNLL2,"Dynein light chain 2, cytoplasmic"
Q9NP97,DLRB1_HUMAN,DYNLRB1,Dynein light chain roadblock-type 1
P63172,DYLT1_HUMAN,DYNLT1,Dynein light chain Tctex-type 1
O75923,DYSF_HUMAN,DYSF,Dysferlin
Q13011,ECH1_HUMAN,ECH1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"
Q86YB7,ECHD2_HUMAN,ECHDC2,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial"
Q96DC8,ECHD3_HUMAN,ECHDC3,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial"
P30084,ECHM_HUMAN,ECHS1,"Enoyl-CoA hydratase, mitochondrial"
P42126,ECI1_HUMAN,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial"
O75521,ECI2_HUMAN,ECI2,"Enoyl-CoA delta isomerase 2, mitochondrial"
Q5VYK3,ECM29_HUMAN,ECPAS,Proteasome adapter and scaffold protein ECM29
O60869,EDF1_HUMAN,EDF1,Endothelial differentiation-related factor 1
Q15075,EEA1_HUMAN,EEA1,Early endosome antigen 1
P68104,EF1A1_HUMAN,EEF1A1,Elongation factor 1-alpha 1
Q05639,EF1A2_HUMAN,EEF1A2,Elongation factor 1-alpha 2
P24534,EF1B_HUMAN,EEF1B2,Elongation factor 1-beta
P29692,EF1D_HUMAN,EEF1D,Elongation factor 1-delta
P26641,EF1G_HUMAN,EEF1G,Elongation factor 1-gamma
P13639,EF2_HUMAN,EEF2,Elongation factor 2
O00418,EF2K_HUMAN,EEF2K,Eukaryotic elongation factor 2 kinase
P57772,SELB_HUMAN,EEFSEC,Selenocysteine-specific elongation factor
Q12805,FBLN3_HUMAN,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1
Q9GZT9,EGLN1_HUMAN,EGLN1,Egl nine homolog 1
Q8N3D4,EH1L1_HUMAN,EHBP1L1,EH domain-binding protein 1-like protein 1
Q9H4M9,EHD1_HUMAN,EHD1,EH domain-containing protein 1
Q9NZN4,EHD2_HUMAN,EHD2,EH domain-containing protein 2
Q9H223,EHD4_HUMAN,EHD4,EH domain-containing protein 4
P41567,EIF1_HUMAN,EIF1,Eukaryotic translation initiation factor 1
P47813,IF1AX_HUMAN,EIF1AX,"Eukaryotic translation initiation factor 1A, X-chromosomal"
Q9BY44,EIF2A_HUMAN,EIF2A,Eukaryotic translation initiation factor 2A
Q14232,EI2BA_HUMAN,EIF2B1,Translation initiation factor eIF-2B subunit alpha
Q9NR50,EI2BG_HUMAN,EIF2B3,Translation initiation factor eIF-2B subunit gamma
Q9UI10,EI2BD_HUMAN,EIF2B4,Translation initiation factor eIF-2B subunit delta
P05198,IF2A_HUMAN,EIF2S1,Eukaryotic translation initiation factor 2 subunit 1
P20042,IF2B_HUMAN,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2
P41091,IF2G_HUMAN,EIF2S3,Eukaryotic translation initiation factor 2 subunit 3
Q14152,EIF3A_HUMAN,EIF3A,Eukaryotic translation initiation factor 3 subunit A
P55884,EIF3B_HUMAN,EIF3B,Eukaryotic translation initiation factor 3 subunit B
Q99613,EIF3C_HUMAN,EIF3C,Eukaryotic translation initiation factor 3 subunit C
O15371,EIF3D_HUMAN,EIF3D,Eukaryotic translation initiation factor 3 subunit D
P60228,EIF3E_HUMAN,EIF3E,Eukaryotic translation initiation factor 3 subunit E
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F
O75821,EIF3G_HUMAN,EIF3G,Eukaryotic translation initiation factor 3 subunit G
O15372,EIF3H_HUMAN,EIF3H,Eukaryotic translation initiation factor 3 subunit H
Q13347,EIF3I_HUMAN,EIF3I,Eukaryotic translation initiation factor 3 subunit I
O75822,EIF3J_HUMAN,EIF3J,Eukaryotic translation initiation factor 3 subunit J
Q9UBQ5,EIF3K_HUMAN,EIF3K,Eukaryotic translation initiation factor 3 subunit K
Q9Y262,EIF3L_HUMAN,EIF3L,Eukaryotic translation initiation factor 3 subunit L
Q7L2H7,EIF3M_HUMAN,EIF3M,Eukaryotic translation initiation factor 3 subunit M
P60842,IF4A1_HUMAN,EIF4A1,Eukaryotic initiation factor 4A-I
Q14240,IF4A2_HUMAN,EIF4A2,Eukaryotic initiation factor 4A-II
P23588,IF4B_HUMAN,EIF4B,Eukaryotic translation initiation factor 4B
P06730,IF4E_HUMAN,EIF4E,Eukaryotic translation initiation factor 4E
Q04637,IF4G1_HUMAN,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1
P78344,IF4G2_HUMAN,EIF4G2,Eukaryotic translation initiation factor 4 gamma 2
Q15056,IF4H_HUMAN,EIF4H,Eukaryotic translation initiation factor 4H
P55010,IF5_HUMAN,EIF5,Eukaryotic translation initiation factor 5
P63241,IF5A1_HUMAN,EIF5A,Eukaryotic translation initiation factor 5A-1
P56537,IF6_HUMAN,EIF6,Eukaryotic translation initiation factor 6
Q15717,ELAV1_HUMAN,ELAVL1,ELAV-like protein 1
Q8IZ81,ELMD2_HUMAN,ELMOD2,ELMO domain-containing protein 2
Q15370,ELOB_HUMAN,ELOB,Elongin-B
Q15369,ELOC_HUMAN,ELOC,Elongin-C
Q8N766,EMC1_HUMAN,EMC1,ER membrane protein complex subunit 1
Q15006,EMC2_HUMAN,EMC2,ER membrane protein complex subunit 2
Q9P0I2,EMC3_HUMAN,EMC3,ER membrane protein complex subunit 3
P50402,EMD_HUMAN,EMD,Emerin
O00423,EMAL1_HUMAN,EML1,Echinoderm microtubule-associated protein-like 1
O95834,EMAL2_HUMAN,EML2,Echinoderm microtubule-associated protein-like 2
O94919,ENDD1_HUMAN,ENDOD1,Endonuclease domain-containing 1 protein
Q14249,NUCG_HUMAN,ENDOG,"Endonuclease G, mitochondrial"
P06733,ENOA_HUMAN,ENO1,Alpha-enolase
P09104,ENOG_HUMAN,ENO2,Gamma-enolase
P13929,ENOB_HUMAN,ENO3,Beta-enolase
Q9UHY7,ENOPH_HUMAN,ENOPH1,Enolase-phosphatase E1
O43768,ENSA_HUMAN,ENSA,Alpha-endosulfine
P11171,41_HUMAN,EPB41,Protein 4.1
Q9UM22,EPDR1_HUMAN,EPDR1,Mammalian ependymin-related protein 1
P29317,EPHA2_HUMAN,EPHA2,Ephrin type-A receptor 2
P07099,HYEP_HUMAN,EPHX1,Epoxide hydrolase 1
O95278,EPM2A_HUMAN,EPM2A,Laforin
P07814,SYEP_HUMAN,EPRS1,Bifunctional glutamate/proline--tRNA ligase
Q9UBC2,EP15R_HUMAN,EPS15L1,Epidermal growth factor receptor substrate 15-like 1
Q9NZ08,ERAP1_HUMAN,ERAP1,Endoplasmic reticulum aminopeptidase 1
Q969X5,ERGI1_HUMAN,ERGIC1,Endoplasmic reticulum-Golgi intermediate compartment protein 1
P84090,ERH_HUMAN,ERH,Enhancer of rudimentary homolog
O43414,ERI3_HUMAN,ERI3,ERI1 exoribonuclease 3
O94905,ERLN2_HUMAN,ERLIN2,Erlin-2
Q7Z2K6,ERMP1_HUMAN,ERMP1,Endoplasmic reticulum metallopeptidase 1
Q96HE7,ERO1A_HUMAN,ERO1A,ERO1-like protein alpha
P30040,ERP29_HUMAN,ERP29,Endoplasmic reticulum resident protein 29
Q9BS26,ERP44_HUMAN,ERP44,Endoplasmic reticulum resident protein 44
P10768,ESTD_HUMAN,ESD,S-formylglutathione hydrolase
Q9BSJ8,ESYT1_HUMAN,ESYT1,Extended synaptotagmin-1
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2
P62495,ERF1_HUMAN,ETF1,Eukaryotic peptide chain release factor subunit 1
P13804,ETFA_HUMAN,ETFA,"Electron transfer flavoprotein subunit alpha, mitochondrial"
P38117,ETFB_HUMAN,ETFB,Electron transfer flavoprotein subunit beta
Q16134,ETFD_HUMAN,ETFDH,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial"
Q6IPR1,ETFR1_HUMAN,ETFRF1,Electron transfer flavoprotein regulatory factor 1
O95571,ETHE1_HUMAN,ETHE1,"Persulfide dioxygenase ETHE1, mitochondrial"
Q01844,EWS_HUMAN,EWSR1,RNA-binding protein EWS
P15311,EZRI_HUMAN,EZR,Ezrin
P00488,F13A_HUMAN,F13A1,Coagulation factor XIII A chain
P05413,FABPH_HUMAN,FABP3,"Fatty acid-binding protein, heart"
P15090,FABP4_HUMAN,FABP4,"Fatty acid-binding protein, adipocyte"
Q01469,FABP5_HUMAN,FABP5,Fatty acid-binding protein 5
P16930,FAAA_HUMAN,FAH,Fumarylacetoacetase
Q6P587,FAHD1_HUMAN,FAHD1,"Acylpyruvase FAHD1, mitochondrial"
Q96GK7,FAH2A_HUMAN,FAHD2A,Fumarylacetoacetate hydrolase domain-containing protein 2A
Q9NZB2,F120A_HUMAN,FAM120A,Constitutive coactivator of PPAR-gamma-like protein 1
Q96C01,F136A_HUMAN,FAM136A,Protein FAM136A
Q96A26,F162A_HUMAN,FAM162A,Protein FAM162A
Q8N0U4,F185A_HUMAN,FAM185A,Protein FAM185A
Q8NCA5,FA98A_HUMAN,FAM98A,Protein FAM98A
Q52LJ0,FA98B_HUMAN,FAM98B,Protein FAM98B
Q9Y285,SYFA_HUMAN,FARSA,Phenylalanine--tRNA ligase alpha subunit
Q9NSD9,SYFB_HUMAN,FARSB,Phenylalanine--tRNA ligase beta subunit
P23142,FBLN1_HUMAN,FBLN1,Fibulin-1
P98095,FBLN2_HUMAN,FBLN2,Fibulin-2
P35555,FBN1_HUMAN,FBN1,Fibrillin-1
P09467,F16P1_HUMAN,FBP1,"Fructose-1,6-bisphosphatase 1"
O00757,F16P2_HUMAN,FBP2,"Fructose-1,6-bisphosphatase isozyme 2"
P14324,FPPS_HUMAN,FDPS,Farnesyl pyrophosphate synthase
P10109,ADX_HUMAN,FDX1,"Adrenodoxin, mitochondrial"
P22570,ADRO_HUMAN,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial"
P22830,HEMH_HUMAN,FECH,"Ferrochelatase, mitochondrial"
Q96AC1,FERM2_HUMAN,FERMT2,Fermitin family homolog 2
Q96C11,FGGY_HUMAN,FGGY,FGGY carbohydrate kinase domain-containing protein
P07954,FUMH_HUMAN,FH,"Fumarate hydratase, mitochondrial"
Q13642,FHL1_HUMAN,FHL1,Four and a half LIM domains protein 1
Q13643,FHL3_HUMAN,FHL3,Four and a half LIM domains protein 3
Q9Y613,FHOD1_HUMAN,FHOD1,FH1/FH2 domain-containing protein 1
Q9Y3D6,FIS1_HUMAN,FIS1,Mitochondrial fission 1 protein
P62942,FKB1A_HUMAN,FKBP1A,Peptidyl-prolyl cis-trans isomerase FKBP1A
P26885,FKBP2_HUMAN,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2
Q00688,FKBP3_HUMAN,FKBP3,Peptidyl-prolyl cis-trans isomerase FKBP3
Q02790,FKBP4_HUMAN,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4
Q13451,FKBP5_HUMAN,FKBP5,Peptidyl-prolyl cis-trans isomerase FKBP5
Q5D862,FILA2_HUMAN,FLG2,Filaggrin-2
P21333,FLNA_HUMAN,FLNA,Filamin-A
O75369,FLNB_HUMAN,FLNB,Filamin-B
Q14315,FLNC_HUMAN,FLNC,Filamin-C
O75955,FLOT1_HUMAN,FLOT1,Flotillin-1
Q14254,FLOT2_HUMAN,FLOT2,Flotillin-2
P17948,VGFR1_HUMAN,FLT1,Vascular endothelial growth factor receptor 1
P02751,FINC_HUMAN,FN1,Fibronectin
Q9H479,FN3K_HUMAN,FN3K,Fructosamine-3-kinase
Q9HA64,KT3K_HUMAN,FN3KRP,Ketosamine-3-kinase
Q9Y2H6,FND3A_HUMAN,FNDC3A,Fibronectin type-III domain-containing protein 3A
P49354,FNTA_HUMAN,FNTA,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
Q16658,FSCN1_HUMAN,FSCN1,Fascin
A1L4K1,FSD2_HUMAN,FSD2,Fibronectin type III and SPRY domain-containing protein 2
P02794,FRIH_HUMAN,FTH1,Ferritin heavy chain
P02792,FRIL_HUMAN,FTL,Ferritin light chain
Q96AE4,FUBP1_HUMAN,FUBP1,Far upstream element-binding protein 1
Q9BWH2,FUND2_HUMAN,FUNDC2,FUN14 domain-containing protein 2
P35637,FUS_HUMAN,FUS,RNA-binding protein FUS
Q16595,FRDA_HUMAN,FXN,"Frataxin, mitochondrial"
P51114,FXR1_HUMAN,FXR1,Fragile X mental retardation syndrome-related protein 1
O00168,PLM_HUMAN,FXYD1,Phospholemman
Q9BQS8,FYCO1_HUMAN,FYCO1,FYVE and coiled-coil domain-containing protein 1
Q13283,G3BP1_HUMAN,G3BP1,Ras GTPase-activating protein-binding protein 1
Q9UN86,G3BP2_HUMAN,G3BP2,Ras GTPase-activating protein-binding protein 2
P10253,LYAG_HUMAN,GAA,Lysosomal alpha-glucosidase
