gene,pathway,database,cluster
S100A11,Unmapped,NA,C2
GBP2,positive regulation of cellular component organization,GO:BP,C2
KIF5B,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
HSPA4,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
PFN2,protein stabilization,GO:BP,C2
THBS4,response to topologically incorrect protein,GO:BP,C2
COPB2,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2
PSMC2,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
ARL3,cell division,GO:BP,C2
ATP6V1E1,Unmapped,NA,C2
RPL3,cytoplasmic translation,GO:BP,C2
DDOST,Unmapped,NA,C2
ANP32A,Unmapped,NA,C2
CAPG,Unmapped,NA,C2
CCT6A,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
ARL1,endomembrane system organization,GO:BP,C2
EIF2S3,cytoplasmic translation,GO:BP,C2
NAA10,Unmapped,NA,C2
AKR1C3,Unmapped,NA,C2
RPS27,cytoplasmic translation,GO:BP,C2
PAFAH1B1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
PSMC4,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
USP5,regulation of protein metabolic process,GO:BP,C2
BAG6,protein stabilization,GO:BP,C2
RPS9,regulation of protein metabolic process,GO:BP,C2
RPS10,cytoplasmic translation,GO:BP,C2
GYG1,Unmapped,NA,C2
EIF1AX,Unmapped,NA,C2
ARCN1,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2
CD151,positive regulation of cellular component organization,GO:BP,C2
PSMD8,Unmapped,NA,C2
GSS,Unmapped,NA,C2
CCT5,chaperone-mediated protein folding,GO:BP,C2
NES,negative regulation of apoptotic process,GO:BP,C2
PXN,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
CCT3,chaperone-mediated protein folding,GO:BP,C2
SARS1,regulation of protein metabolic process,GO:BP,C2
GDI2,cilium assembly,GO:BP,C2
SERPINH1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
CSRP3,endomembrane system organization,GO:BP,C2
DNM2,establishment of organelle localization,GO:BP,C2
CCT8,chaperone-mediated protein folding,GO:BP,C2
CCT4,chaperone-mediated protein folding,GO:BP,C2
RAB5C,Unmapped,NA,C2
RAB7A,establishment of organelle localization,GO:BP,C2
BCAP31,regulation of protein metabolic process,GO:BP,C2
KPNA1,Unmapped,NA,C2
ARHGDIB,Unmapped,NA,C2
BLVRA,Unmapped,NA,C2
COPA,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2
SEC24C,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2
SUB1,Unmapped,NA,C2
RARS1,Unmapped,NA,C2
PRKAG1,regulation of protein metabolic process,GO:BP,C2
PRKAA2,regulation of protein metabolic process,GO:BP,C2
HSPA2,chaperone-mediated protein folding,GO:BP,C2
NAPA,Unmapped,NA,C2
PSMD4,Unmapped,NA,C2
CSE1L,Unmapped,NA,C2
VCP,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
NAP1L1,Unmapped,NA,C2
TPD52,Unmapped,NA,C2
EIF3B,regulation of protein metabolic process,GO:BP,C2
ARPP19,cell division,GO:BP,C2
ARPC4,Unmapped,NA,C2
ROMO1,Unmapped,NA,C2
RPS20,cytoplasmic translation,GO:BP,C2
S100A10,regulation of protein metabolic process,GO:BP,C2
RAB2A,endomembrane system organization,GO:BP,C2
RAB10,cell division,GO:BP,C2
ACTR2,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
ACTR1A,Unmapped,NA,C2
COPS2,regulation of protein metabolic process,GO:BP,C2
RPL26,regulation of protein metabolic process,GO:BP,C2
RPL27,cytoplasmic translation,GO:BP,C2
B2M,positive regulation of cellular component organization,GO:BP,C2
UFM1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
HNRNPK,negative regulation of apoptotic process,GO:BP,C2
RPS7,protein stabilization,GO:BP,C2
PSMC1,regulation of protein metabolic process,GO:BP,C2
PSMC5,regulation of protein metabolic process,GO:BP,C2
RPS8,cytoplasmic translation,GO:BP,C2
RPS15A,cytoplasmic translation,GO:BP,C2
RPS16,cytoplasmic translation,GO:BP,C2
YWHAE,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
RPS23,cytoplasmic translation,GO:BP,C2
RPS13,cytoplasmic translation,GO:BP,C2
RPS11,cytoplasmic translation,GO:BP,C2
TMSB4X,regulation of cell cycle G1/S phase transition,GO:BP,C2
PSMC6,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
RPL7A,cytoplasmic translation,GO:BP,C2
ETF1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
RPS4X,regulation of protein metabolic process,GO:BP,C2
RPS6,cytoplasmic translation,GO:BP,C2
RAN,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
RPS24,cytoplasmic translation,GO:BP,C2
RPS25,cytoplasmic translation,GO:BP,C2
RPS26,cytoplasmic translation,GO:BP,C2
RPL11,protein stabilization,GO:BP,C2
PPIA,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
RPS27A,cytoplasmic translation,GO:BP,C2
AP2B1,Unmapped,NA,C2
YWHAZ,establishment of organelle localization,GO:BP,C2
DYNLL1,microtubule-based transport,GO:BP,C2
DYNLT1,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
YBX1,cell division,GO:BP,C2
CSNK2B,regulation of protein metabolic process,GO:BP,C2
EEF1A1,regulation of protein metabolic process,GO:BP,C2
TUBA1B,cell division,GO:BP,C2
TUBA4A,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
TUBB4B,Unmapped,NA,C2
CCT2,chaperone-mediated protein folding,GO:BP,C2
PRKDC,regulation of protein metabolic process,GO:BP,C2
MRPS15,Unmapped,NA,C2
ARF5,Unmapped,NA,C2
MXRA7,Unmapped,NA,C2
CLTC,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
REEP5,endomembrane system organization,GO:BP,C2
HNRNPU,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
SPTBN1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
TIAL1,cell division,GO:BP,C2
EWSR1,Unmapped,NA,C2
COL7A1,Unmapped,NA,C2
AKAP12,Unmapped,NA,C2
GBE1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
EIF4G1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2
AKR1C1,Unmapped,NA,C2
PLP2,Unmapped,NA,C2
EEF1A2,regulation of protein metabolic process,GO:BP,C2
PSME1,regulation of protein metabolic process,GO:BP,C2
ZNF33A,Unmapped,NA,C2
CKAP4,Unmapped,NA,C2
KLC1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
ARHGAP1,regulation of cellular localization,GO:BP,C2
DHX9,regulation of protein metabolic process,GO:BP,C2
PPID,chaperone-mediated protein folding,GO:BP,C2
AHNAK,endomembrane system organization,GO:BP,C2
HSPA14,chaperone-mediated protein folding,GO:BP,C2
AP1B1,endomembrane system organization,GO:BP,C2
ANK3,cell division,GO:BP,C2
HSPB3,response to topologically incorrect protein,GO:BP,C2
STRN3,Unmapped,NA,C2
ACACA,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
GPS1,regulation of protein metabolic process,GO:BP,C2
PRKAA1,regulation of protein metabolic process,GO:BP,C2
AIMP2,regulation of protein metabolic process,GO:BP,C2
PAK2,regulation of protein metabolic process,GO:BP,C2
TRIM28,regulation of protein localization to nucleus,GO:BP,C2
DYNC1I2,microtubule-based transport,GO:BP,C2
PDAP1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
PICALM,establishment of organelle localization,GO:BP,C2
CAMK2B,positive regulation of cellular component organization,GO:BP,C2
CAMK2D,regulation of cellular localization,GO:BP,C2
DCTN2,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
CUL2,Unmapped,NA,C2
CUL4A,regulation of protein metabolic process,GO:BP,C2
FHL1,regulation of cell cycle G1/S phase transition,GO:BP,C2
SPTAN1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
TUBB2A,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2
SCARB2,endomembrane system organization,GO:BP,C2
IL18,regulation of protein metabolic process,GO:BP,C2
EIF3A,cytoplasmic translation,GO:BP,C2
MLEC,Unmapped,NA,C2
DCTN1,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
DYNC1H1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
EIF2B1,cytoplasmic translation,GO:BP,C2
FLNC,Unmapped,NA,C2
GANAB,Unmapped,NA,C2
SSPN,Unmapped,NA,C2
KPNB1,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
PSME4,Unmapped,NA,C2
SLMAP,Unmapped,NA,C2
PSMD6,Unmapped,NA,C2
SEPTIN2,cell division,GO:BP,C2
EEA1,endomembrane system organization,GO:BP,C2
PEA15,negative regulation of apoptotic process,GO:BP,C2
PLEC,cell division,GO:BP,C2
RABEP1,Unmapped,NA,C2
PCBP1,Unmapped,NA,C2
UBE3C,Unmapped,NA,C2
RSU1,Unmapped,NA,C2
PPP1R7,Unmapped,NA,C2
SEC23A,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2
MAPRE1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
TSC22D1,negative regulation of apoptotic process,GO:BP,C2
RAB11B,establishment of organelle localization,GO:BP,C2
ZYX,Unmapped,NA,C2
HSPB2,response to topologically incorrect protein,GO:BP,C2
SEPTIN7,cell division,GO:BP,C2
DDB1,regulation of protein metabolic process,GO:BP,C2
DPYSL2,Unmapped,NA,C2
CLPP,Unmapped,NA,C2
UGP2,Unmapped,NA,C2
KLHL40,regulation of protein metabolic process,GO:BP,C2
TKFC,Unmapped,NA,C2
FAM98B,Unmapped,NA,C2
PDLIM3,Unmapped,NA,C2
CAVIN4,Unmapped,NA,C2
RABL3,protein stabilization,GO:BP,C2
DCAF8,Unmapped,NA,C2
ECPAS,response to endoplasmic reticulum stress,GO:BP,C2
RNF123,Unmapped,NA,C2
TMEM198,Unmapped,NA,C2
NXN,regulation of protein metabolic process,GO:BP,C2
LAMTOR1,endomembrane system organization,GO:BP,C2
DHRS7B,Unmapped,NA,C2
TRIM72,endomembrane system organization,GO:BP,C2
COPS6,regulation of protein metabolic process,GO:BP,C2
RRM2B,negative regulation of apoptotic process,GO:BP,C2
MYH14,cell division,GO:BP,C2
COMMD6,Unmapped,NA,C2
MTDH,negative regulation of apoptotic process,GO:BP,C2
KTN1,Unmapped,NA,C2
NRAP,Unmapped,NA,C2
CAND1,positive regulation of cellular component organization,GO:BP,C2
COMMD7,Unmapped,NA,C2
NDUFA11,Unmapped,NA,C2
PHYKPL,Unmapped,NA,C2
MUSTN1,regulation of protein metabolic process,GO:BP,C2
UNC45B,chaperone-mediated protein folding,GO:BP,C2
KLHDC8B,cell division,GO:BP,C2
PM20D2,regulation of protein metabolic process,GO:BP,C2
LRRC47,Unmapped,NA,C2
EHBP1L1,Unmapped,NA,C2
TXLNB,Unmapped,NA,C2
NHLRC2,Unmapped,NA,C2
TXNDC5,negative regulation of apoptotic process,GO:BP,C2
FAM98A,positive regulation of cellular component organization,GO:BP,C2
ADPRHL1,Unmapped,NA,C2
ABCF1,regulation of protein metabolic process,GO:BP,C2
RDH11,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
NEK9,cell division,GO:BP,C2
SETD7,Unmapped,NA,C2
DNAJA4,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2
SYNE2,establishment of organelle localization,GO:BP,C2
GCN1,regulation of protein metabolic process,GO:BP,C2
ARPC1A,Unmapped,NA,C2
UFD1,response to topologically incorrect protein,GO:BP,C2
COPS5,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
KHSRP,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2
TNPO1,Unmapped,NA,C2
USP9X,cell division,GO:BP,C2
ERGIC1,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2
FERMT2,regulation of protein localization to nucleus,GO:BP,C2
FUBP1,Unmapped,NA,C2
PBXIP1,Unmapped,NA,C2
GALM,Unmapped,NA,C2
PPP1R14B,Unmapped,NA,C2
AP2M1,positive regulation of cellular component organization,GO:BP,C2
MSI2,regulation of protein metabolic process,GO:BP,C2
MMAB,Unmapped,NA,C2
S100A16,Unmapped,NA,C2
PDXP,cell division,GO:BP,C2
DDRGK1,response to topologically incorrect protein,GO:BP,C2
TMX3,Unmapped,NA,C2
USP47,negative regulation of apoptotic process,GO:BP,C2
ALPK3,Unmapped,NA,C2
JSRP1,Unmapped,NA,C2
GFM1,Unmapped,NA,C2
TBCB,Unmapped,NA,C2
PFDN5,chaperone-mediated protein folding,GO:BP,C2
VAT1,Unmapped,NA,C2
S100A13,establishment of organelle localization,GO:BP,C2
EIF3C,regulation of protein metabolic process,GO:BP,C2
NAP1L4,Unmapped,NA,C2
MGST2,Unmapped,NA,C2
TSG101,establishment of organelle localization,GO:BP,C2
CCT7,chaperone-mediated protein folding,GO:BP,C2
APOL2,Unmapped,NA,C2
FYCO1,establishment of organelle localization,GO:BP,C2
VPS25,regulation of protein metabolic process,GO:BP,C2
ERP44,response to topologically incorrect protein,GO:BP,C2
ESYT1,endomembrane system organization,GO:BP,C2
DCTN5,Unmapped,NA,C2
TMEM43,endomembrane system organization,GO:BP,C2
TUBB6,Unmapped,NA,C2
TMEM109,Unmapped,NA,C2
TPPP3,positive regulation of cellular component organization,GO:BP,C2
FUNDC2,Unmapped,NA,C2
OSBPL11,Unmapped,NA,C2
AP1M1,endomembrane system organization,GO:BP,C2
UBE2O,Unmapped,NA,C2
ANKRD2,Unmapped,NA,C2
NAA50,Unmapped,NA,C2
TOLLIP,regulation of protein metabolic process,GO:BP,C2
RAB1B,regulation of protein metabolic process,GO:BP,C2
NUCKS1,Unmapped,NA,C2
SLK,Unmapped,NA,C2
LRMDA,Unmapped,NA,C2
TMEM245,Unmapped,NA,C2
TMX1,regulation of protein metabolic process,GO:BP,C2
CHMP4B,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
TOR1AIP2,endomembrane system organization,GO:BP,C2
GLIPR2,Unmapped,NA,C2
EHD1,cilium assembly,GO:BP,C2
UBE2Z,negative regulation of apoptotic process,GO:BP,C2
GORASP2,endomembrane system organization,GO:BP,C2
JPT2,Unmapped,NA,C2
GRPEL1,Unmapped,NA,C2
CACYBP,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
PREB,establishment of organelle localization,GO:BP,C2
APMAP,Unmapped,NA,C2
RAB18,endomembrane system organization,GO:BP,C2
PALMD,Unmapped,NA,C2
VTA1,endomembrane system organization,GO:BP,C2
RTN4,protein stabilization,GO:BP,C2
XPNPEP1,Unmapped,NA,C2
SAR1A,establishment of organelle localization,GO:BP,C2
SH3GLB2,Unmapped,NA,C2
OSTC,Unmapped,NA,C2
FARSB,Unmapped,NA,C2
ARL8B,cell division,GO:BP,C2
DPP3,Unmapped,NA,C2
ERAP1,Unmapped,NA,C2
FAM120A,Unmapped,NA,C2
MAT2B,Unmapped,NA,C2
LMCD1,Unmapped,NA,C2
CNIH4,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2
EMC3,endomembrane system organization,GO:BP,C2
MRPL36,Unmapped,NA,C2
LARS1,Unmapped,NA,C2
GNG12,Unmapped,NA,C2
EIF3K,regulation of protein metabolic process,GO:BP,C2
HSPB7,response to topologically incorrect protein,GO:BP,C2
MLX,Unmapped,NA,C2
SEPTIN9,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
UBQLN2,regulation of protein metabolic process,GO:BP,C2
BCAP29,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2
CYB5R1,Unmapped,NA,C2
NAGK,Unmapped,NA,C2
DBNL,Unmapped,NA,C2
DCTN4,Unmapped,NA,C2
HSPB8,response to topologically incorrect protein,GO:BP,C2
VPS28,regulation of protein metabolic process,GO:BP,C2
APPL1,positive regulation of cellular component organization,GO:BP,C2
PSME2,regulation of protein metabolic process,GO:BP,C2
TBC1D24,regulation of protein metabolic process,GO:BP,C2
TMCO1,endomembrane system organization,GO:BP,C2
STUB1,response to topologically incorrect protein,GO:BP,C2
PSMD13,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
LIMCH1,regulation of protein metabolic process,GO:BP,C2
MAPRE3,cell division,GO:BP,C2
EIF3L,cytoplasmic translation,GO:BP,C2
NUDC,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
FARSA,Unmapped,NA,C2
CNPY2,Unmapped,NA,C2
PADI2,Unmapped,NA,C2
SUGT1,Unmapped,NA,C2
MEMO1,Unmapped,NA,C2
LUC7L2,Unmapped,NA,C2
DHRS7,Unmapped,NA,C2
MOB4,Unmapped,NA,C2
SBDS,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
PTRH2,negative regulation of apoptotic process,GO:BP,C2
STRAP,Unmapped,NA,C2
SAMHD1,Unmapped,NA,C2
HBS1L,regulation of protein metabolic process,GO:BP,C2
TLN1,Unmapped,NA,C2
HYOU1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2
ARIH1,Unmapped,NA,C2
UCHL5,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
SRPRB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2
COPG1,establishment of organelle localization,GO:BP,C2
CLIC4,Unmapped,NA,C2
DYNC1LI1,cell division,GO:BP,C2
MMP24OS,Unmapped,NA,C3
TARS3,amino acid metabolic process,GO:BP,C3
VWA8,Unmapped,NA,C3
PGP,lipid metabolic process,GO:BP,C3
NUDT19,monocarboxylic acid catabolic process,GO:BP,C3
NDUFS8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PDHX,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
DNM1L,monoatomic ion transport,GO:BP,C3
RTCA,Unmapped,NA,C3
NDUFA4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
CES2,lipid metabolic process,GO:BP,C3
SDHD,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
COX7A2L,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFAB1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
OPLAH,modified amino acid metabolic process,GO:BP,C3
MGST3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
RGS12,Unmapped,NA,C3
UQCRQ,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MYL12B,Unmapped,NA,C3
UQCR11,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
BCAT2,lipid metabolic process,GO:BP,C3
NDUFS4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
AKR7A2,lipid metabolic process,GO:BP,C3
TIMM44,mitochondrial transmembrane transport,GO:BP,C3
CHMP2A,Unmapped,NA,C3
NDUFB5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFB3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SGTA,Unmapped,NA,C3
SLC25A20,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
IDH3B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFS5,monoatomic ion transport,GO:BP,C3
TIMM8A,Unmapped,NA,C3
OPA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PFKFB2,phosphate-containing compound metabolic process,GO:BP,C3
NOL3,monoatomic ion transport,GO:BP,C3
CLASP2,Unmapped,NA,C3
CLUH,Unmapped,NA,C3
COQ9,HALLMARK_ADIPOGENESIS,Hallmark,C3
NDUFS7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFS2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NIPSNAP2,monoatomic ion transport,GO:BP,C3
NDUFS6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
CS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MTX2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFB1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PMPCB,mitochondrial transmembrane transport,GO:BP,C3
NDUFS3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ECI2,monocarboxylic acid catabolic process,GO:BP,C3
LYPLA1,lipid metabolic process,GO:BP,C3
SLC25A12,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SCO1,respiratory chain complex IV assembly,GO:BP,C3
ALDH1L1,phosphate-containing compound metabolic process,GO:BP,C3
ATP5PD,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP5MG,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
TPPP,Unmapped,NA,C3
BAIAP3,Unmapped,NA,C3
TOMM70,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFB6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFB4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFB8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
LETM1,mitochondrial transmembrane transport,GO:BP,C3
NDUFC2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA10,monoatomic ion transport,GO:BP,C3
PGLS,phosphate-containing compound metabolic process,GO:BP,C3
MPC2,mitochondrial transmembrane transport,GO:BP,C3
ETHE1,modified amino acid metabolic process,GO:BP,C3
CAVIN2,HALLMARK_ADIPOGENESIS,Hallmark,C3
MLYCD,monocarboxylic acid catabolic process,GO:BP,C3
AIFM1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NUDT3,phosphate-containing compound metabolic process,GO:BP,C3
NDUFB10,monoatomic ion transport,GO:BP,C3
TOMM40,mitochondrial transmembrane transport,GO:BP,C3
PEX11B,Unmapped,NA,C3
GLUD1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MT-CO2,monoatomic ion transport,GO:BP,C3
MT-CO3,monoatomic ion transport,GO:BP,C3
GOT2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ASS1,amino acid metabolic process,GO:BP,C3
FN1,phosphate-containing compound metabolic process,GO:BP,C3
MT-ND1,monoatomic ion transport,GO:BP,C3
MT-ND2,monoatomic ion transport,GO:BP,C3
MT-ND3,monoatomic ion transport,GO:BP,C3
MT-ND4,monoatomic ion transport,GO:BP,C3
MT-ND5,monoatomic ion transport,GO:BP,C3
MT-ATP8,monoatomic ion transport,GO:BP,C3
SOD2,response to decreased oxygen levels,GO:BP,C3
SLC25A5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PCCA,monocarboxylic acid catabolic process,GO:BP,C3
PCCB,monocarboxylic acid catabolic process,GO:BP,C3
FABP3,lipid metabolic process,GO:BP,C3
ATP5F1B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
UQCRH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
FH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SOD3,response to decreased oxygen levels,GO:BP,C3
PDHA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
CYC1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ACAA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
RBP1,lipid metabolic process,GO:BP,C3
COX6C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
FDX1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
COX8A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
GAA,Unmapped,NA,C3
DLAT,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
COX5B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
HSPD1,mitochondrial transmembrane transport,GO:BP,C3
PDHB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PYGB,Unmapped,NA,C3
ACADM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PABPC1,Unmapped,NA,C3
SLC25A4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SLC25A6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
BCKDHA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
COX4I1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ETFA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
FDPS,lipid metabolic process,GO:BP,C3
COX7A2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SLC2A4,carbohydrate derivative metabolic process,GO:BP,C3
COX6B1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
JUP,Unmapped,NA,C3
UQCRB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
FABP4,HALLMARK_ADIPOGENESIS,Hallmark,C3
GLUL,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
COX7C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ACADS,monocarboxylic acid catabolic process,GO:BP,C3
CD36,lipid metabolic process,GO:BP,C3
TMEM11,Unmapped,NA,C3
GOT1,phosphate-containing compound metabolic process,GO:BP,C3
CKMT2,phosphate-containing compound metabolic process,GO:BP,C3
NDUFB7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP5PF,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
HK1,phosphate-containing compound metabolic process,GO:BP,C3
NDUFV2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
COX5A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MAOA,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
ACO1,tricarboxylic acid metabolic process,GO:BP,C3
VDAC1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SDHB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MMUT,lipid metabolic process,GO:BP,C3
UQCRC2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ME2,phosphate-containing compound metabolic process,GO:BP,C3
GCSH,amino acid metabolic process,GO:BP,C3
CPT2,monocarboxylic acid catabolic process,GO:BP,C3
GPT,amino acid metabolic process,GO:BP,C3
COX7A1,monoatomic ion transport,GO:BP,C3
COX7B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP5PB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ACAT1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP5F1A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
IVD,monocarboxylic acid catabolic process,GO:BP,C3
HMGB2,Unmapped,NA,C3
