gene,pathway,database,cluster
TARS1,Unfolded Protein Response,Hallmark,C2
VARS1,Translation,Reactome,C2
EEF1G,Translation,Reactome,C2
PLN,Vesicle Organization,GO:BP,C2
YWHAQ,Sars Cov 1 Host Interactions,Reactome,C2
APEX1,Telomere Organization,GO Slim,C2
CALR,Protein Folding,GO Slim,C2
MAP4,Microtubule-Based Movement,GO Slim,C2
CANX,Mhc Class Ii Antigen Presentation,Reactome,C2
PSMB4,M Phase,Reactome,C2
PSMB5,M Phase,Reactome,C2
MAPK1,M Phase,Reactome,C2
RBL1,Regulation Of Cell Cycle G1 S Phase Transition,GO:BP,C2
TPP2,Class I Mhc Mediated Antigen Processing Presentation,Reactome,C2
EEF1D,Cytoplasmic Translation,GO Slim,C2
MARCKS,Mitotic Spindle,Hallmark,C2
PRDX5,Unmapped,NA,C2
CMPK1,Unmapped,NA,C2
PPP2R1A,Cilium Assembly,Reactome,C2
CLIP1,M Phase,Reactome,C2
SERPINB1,Neutrophil Degranulation,Reactome,C2
ALDH1B1,Unmapped,NA,C2
MAT2A,Unmapped,NA,C2
AKT2,Cytoplasmic Translation,GO Slim,C2
ATIC,Unmapped,NA,C2
YWHAB,Sars Cov 1 Host Interactions,Reactome,C2
STIP1,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2
S100A11,Neutrophil Degranulation,Reactome,C2
GBP2,Interferon Signaling,Reactome,C2
KIF5B,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
HSPA4,Protein Folding,GO Slim,C2
PFN2,Rho Gtpase Effectors,Reactome,C2
THBS4,Response To Topologically Incorrect Protein,GO:BP,C2
COPB2,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
PSMC2,M Phase,Reactome,C2
ARL3,Cilium Assembly,Reactome,C2
ATP6V1E1,Vesicle Organization,GO:BP,C2
RPL3,Cytoplasmic Translation,GO Slim,C2
DDOST,Asparagine N Linked Glycosylation,Reactome,C2
ANP32A,Regulation Of Mrna Stability By Proteins That Bind Au Rich Elements,Reactome,C2
CAPG,Unmapped,NA,C2
CCT6A,Protein Folding,GO Slim,C2
ARL1,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
EIF2S3,Cytoplasmic Translation,GO Slim,C2
NAA10,Unmapped,NA,C2
AKR1C3,Unmapped,NA,C2
RPS27,M Phase,Reactome,C2
PAFAH1B1,Cilium Assembly,Reactome,C2
PSMC4,M Phase,Reactome,C2
USP5,Regulation Of Protein Catabolic Process,GO:BP,C2
BAG6,Regulation Of Protein Catabolic Process,GO:BP,C2
RPS9,Cytoplasmic Translation,GO Slim,C2
RPS10,Cytoplasmic Translation,GO Slim,C2
GYG1,Neutrophil Degranulation,Reactome,C2
EIF1AX,Ribosome Biogenesis,GO Slim,C2
ARCN1,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
CD151,Unmapped,NA,C2
PSMD8,M Phase,Reactome,C2
GSS,Unmapped,NA,C2
CCT5,Cilium Assembly,Reactome,C2
NES,Unmapped,NA,C2
PXN,Mitotic Spindle,Hallmark,C2
CCT3,Cilium Assembly,Reactome,C2
SARS1,Cytoplasmic Translation,GO Slim,C2
GDI2,Cilium Organization,GO Slim,C2
SERPINH1,mTORC1 Signaling,Hallmark,C2
CSRP3,Protein Localization To Plasma Membrane,GO Slim,C2
DNM2,Mhc Class Ii Antigen Presentation,Reactome,C2
CCT8,Cilium Assembly,Reactome,C2
CCT4,Cilium Assembly,Reactome,C2
RAB5C,Neutrophil Degranulation,Reactome,C2
RAB7A,Mhc Class Ii Antigen Presentation,Reactome,C2
BCAP31,Regulation Of Protein Catabolic Process,GO:BP,C2
KPNA1,Apoptosis,Reactome,C2
ARHGDIB,Rho Gtpase Cycle,Reactome,C2
BLVRA,Unmapped,NA,C2
COPA,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
SEC24C,Mhc Class Ii Antigen Presentation,Reactome,C2
SUB1,Unmapped,NA,C2
RARS1,Translation,Reactome,C2
PRKAG1,Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,C2
PRKAA2,Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,C2
HSPA2,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2
NAPA,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
PSMD4,Variant Mutation Inactivated Ubqln2 To 26s Proteasome Mediated Protein Degradation,KEGG,C2
CSE1L,Protein Localization To Nucleus,GO:BP,C2
VCP,Regulation Of Protein Catabolic Process,GO:BP,C2
NAP1L1,Unmapped,NA,C2
TPD52,Golgi Associated Vesicle Biogenesis,Reactome,C2
EIF3B,Cytoplasmic Translation,GO Slim,C2
ARPP19,M Phase,Reactome,C2
ARPC4,Rho Gtpase Effectors,Reactome,C2
ROMO1,Unmapped,NA,C2
RPS20,Cytoplasmic Translation,GO Slim,C2
S100A10,Protein Localization To Plasma Membrane,GO Slim,C2
RAB2A,M Phase,Reactome,C2
RAB10,Protein Localization To Plasma Membrane,GO Slim,C2
ACTR2,Microtubule-Based Movement,GO Slim,C2
ACTR1A,Cilium Assembly,Reactome,C2
COPS2,Clathrin Mediated Endocytosis,Reactome,C2
RPL26,Cytoplasmic Translation,GO Slim,C2
RPL27,Cytoplasmic Translation,GO Slim,C2
B2M,Protein Folding,GO Slim,C2
UFM1,mTORC1 Signaling,Hallmark,C2
HNRNPK,Unmapped,NA,C2
RPS7,Cytoplasmic Translation,GO Slim,C2
PSMC1,M Phase,Reactome,C2
PSMC5,M Phase,Reactome,C2
RPS8,Cytoplasmic Translation,GO Slim,C2
RPS15A,Cytoplasmic Translation,GO Slim,C2
RPS16,Cytoplasmic Translation,GO Slim,C2
YWHAE,Cilium Assembly,Reactome,C2
RPS23,Cytoplasmic Translation,GO Slim,C2
RPS13,Cytoplasmic Translation,GO Slim,C2
RPS11,Cytoplasmic Translation,GO Slim,C2
TMSB4X,Regulation Of Cell Cycle G1 S Phase Transition,GO:BP,C2
PSMC6,M Phase,Reactome,C2
RPL7A,Cytoplasmic Translation,GO Slim,C2
ETF1,Cytoplasmic Translation,GO Slim,C2
RPS4X,Cytoplasmic Translation,GO Slim,C2
RPS6,Cytoplasmic Translation,GO Slim,C2
RAN,M Phase,Reactome,C2
RPS24,Cytoplasmic Translation,GO Slim,C2
RPS25,Cytoplasmic Translation,GO Slim,C2
RPS26,Cytoplasmic Translation,GO Slim,C2
RPL11,Regulation Of Protein Catabolic Process,GO:BP,C2
PPIA,Protein Folding,GO Slim,C2
RPS27A,M Phase,Reactome,C2
AP2B1,Mhc Class Ii Antigen Presentation,Reactome,C2
YWHAZ,Unfolded Protein Response,Hallmark,C2
DYNLL1,Cilium Assembly,Reactome,C2
DYNLT1,Reference Rab7 Regulated Microtubule Minus End Directed Transport,KEGG,C2
YBX1,Cytoplasmic Translation,GO Slim,C2
CSNK2B,M Phase,Reactome,C2
EEF1A1,Regulation Of Protein Catabolic Process,GO:BP,C2
TUBA1B,Cilium Assembly,Reactome,C2
TUBA4A,Cilium Assembly,Reactome,C2
TUBB4B,Cilium Assembly,Reactome,C2
CCT2,Cilium Assembly,Reactome,C2
PRKDC,Telomere Organization,GO Slim,C2
MRPS15,Translation,Reactome,C2
ARF5,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
MXRA7,Unmapped,NA,C2
CLTC,Mhc Class Ii Antigen Presentation,Reactome,C2
REEP5,Unmapped,NA,C2
HNRNPU,Microtubule-Based Movement,GO Slim,C2
SPTBN1,Mitotic Spindle,Hallmark,C2
TIAL1,Unmapped,NA,C2
EWSR1,Unmapped,NA,C2
COL7A1,Asparagine N Linked Glycosylation,Reactome,C2
AKAP12,Rho Gtpase Cycle,Reactome,C2
GBE1,mTORC1 Signaling,Hallmark,C2
EIF4G1,Cytoplasmic Translation,GO Slim,C2
AKR1C1,Unmapped,NA,C2
PLP2,Unmapped,NA,C2
EEF1A2,Regulation Of Protein Catabolic Process,GO:BP,C2
PSME1,Regulation Of Protein Catabolic Process,GO:BP,C2
ZNF33A,Unmapped,NA,C2
CKAP4,Neutrophil Degranulation,Reactome,C2
KLC1,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
ARHGAP1,Rho Gtpase Cycle,Reactome,C2
DHX9,Cytoplasmic Translation,GO Slim,C2
PPID,Protein Folding,GO Slim,C2
AHNAK,Unmapped,NA,C2
HSPA14,Protein Folding,GO Slim,C2
AP1B1,Mhc Class Ii Antigen Presentation,Reactome,C2
ANK3,Protein Localization To Plasma Membrane,GO Slim,C2
HSPB3,Response To Topologically Incorrect Protein,GO:BP,C2
STRN3,Unmapped,NA,C2
ACACA,mTORC1 Signaling,Hallmark,C2
GPS1,Clathrin Mediated Endocytosis,Reactome,C2
PRKAA1,Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,C2
AIMP2,Translation,Reactome,C2
PAK2,Apoptosis,Reactome,C2
TRIM28,Positive Regulation Of Protein Localization To Nucleus,GO:BP,C2
DYNC1I2,Cilium Assembly,Reactome,C2
PDAP1,mTORC1 Signaling,Hallmark,C2
PICALM,Protein Localization To Plasma Membrane,GO Slim,C2
CAMK2B,Protein Localization To Plasma Membrane,GO Slim,C2
CAMK2D,Protein Localization To Plasma Membrane,GO Slim,C2
DCTN2,Cilium Assembly,Reactome,C2
CUL2,Neddylation,Reactome,C2
CUL4A,Regulation Of Protein Catabolic Process,GO:BP,C2
FHL1,Regulation Of Cell Cycle G1 S Phase Transition,GO:BP,C2
SPTAN1,Mitotic Spindle,Hallmark,C2
TUBB2A,Cilium Assembly,Reactome,C2
SCARB2,Protein Localization To Plasma Membrane,GO Slim,C2
IL18,Signaling By Interleukins,Reactome,C2
EIF3A,Cytoplasmic Translation,GO Slim,C2
MLEC,Asparagine N Linked Glycosylation,Reactome,C2
DCTN1,Cilium Assembly,Reactome,C2
DYNC1H1,Cilium Assembly,Reactome,C2
EIF2B1,Cytoplasmic Translation,GO Slim,C2
FLNC,Unmapped,NA,C2
GANAB,Asparagine N Linked Glycosylation,Reactome,C2
SSPN,Unmapped,NA,C2
KPNB1,M Phase,Reactome,C2
PSME4,Proteasome Assembly,Reactome,C2
SLMAP,Protein Localization To Plasma Membrane,GO Slim,C2
PSMD6,M Phase,Reactome,C2
SEPTIN2,Cilium Assembly,Reactome,C2
EEA1,Vesicle Organization,GO:BP,C2
PEA15,Mapk Family Signaling Cascades,Reactome,C2
PLEC,Apoptosis,Reactome,C2
RABEP1,Golgi Vesicle Transport,GO:BP,C2
PCBP1,Unmapped,NA,C2
UBE3C,Class I Mhc Mediated Antigen Processing Presentation,Reactome,C2
RSU1,Unmapped,NA,C2
PPP1R7,Unmapped,NA,C2
SEC23A,Mhc Class Ii Antigen Presentation,Reactome,C2
MAPRE1,Cilium Assembly,Reactome,C2
TSC22D1,Unmapped,NA,C2
RAB11B,Rab Regulation Of Trafficking,Reactome,C2
ZYX,Unmapped,NA,C2
HSPB2,Protein Folding,GO Slim,C2
SEPTIN7,Cilium Organization,GO Slim,C2
DDB1,Regulation Of Protein Catabolic Process,GO:BP,C2
DPYSL2,Recycling Pathway Of L1,Reactome,C2
CLPP,Unmapped,NA,C2
UGP2,Unmapped,NA,C2
KLHL40,Regulation Of Protein Catabolic Process,GO:BP,C2
TKFC,Sars Cov 1 Host Interactions,Reactome,C2
FAM98B,Unmapped,NA,C2
PDLIM3,Unmapped,NA,C2
CAVIN4,Unmapped,NA,C2
RABL3,Regulation Of Protein Stability,GO:BP,C2
DCAF8,Neddylation,Reactome,C2
ECPAS,Response To Endoplasmic Reticulum Stress,GO:BP,C2
RNF123,Ub Specific Processing Proteases,Reactome,C2
TMEM198,Unmapped,NA,C2
NXN,Unmapped,NA,C2
LAMTOR1,Neutrophil Degranulation,Reactome,C2
DHRS7B,Unmapped,NA,C2
TRIM72,Proteasome Mediated Ubiquitin Dependent Protein Catabolic Process,GO:BP,C2
COPS6,Clathrin Mediated Endocytosis,Reactome,C2
RRM2B,DNA Biosynthetic Process,GO:BP,C2
MYH14,Rho Gtpase Effectors,Reactome,C2
COMMD6,Neddylation,Reactome,C2
MTDH,Unmapped,NA,C2
KTN1,Microtubule-Based Movement,GO Slim,C2
NRAP,Unmapped,NA,C2
CAND1,Neutrophil Degranulation,Reactome,C2
COMMD7,Neddylation,Reactome,C2
NDUFA11,Unmapped,NA,C2
PHYKPL,Unmapped,NA,C2
MUSTN1,Unmapped,NA,C2
UNC45B,Protein Folding,GO Slim,C2
KLHDC8B,Unmapped,NA,C2
PM20D2,Unmapped,NA,C2
LRRC47,Unmapped,NA,C2
EHBP1L1,Unmapped,NA,C2
TXLNB,Unmapped,NA,C2
NHLRC2,Unmapped,NA,C2
TXNDC5,Protein Folding,GO Slim,C2
FAM98A,Unmapped,NA,C2
ADPRHL1,Unmapped,NA,C2
ABCF1,Abc Family Proteins Mediated Transport,Reactome,C2
RDH11,mTORC1 Signaling,Hallmark,C2
NEK9,M Phase,Reactome,C2
SETD7,Unmapped,NA,C2
DNAJA4,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2
SYNE2,Microtubule-Based Movement,GO Slim,C2
GCN1,Unmapped,NA,C2
ARPC1A,Rho Gtpase Effectors,Reactome,C2
UFD1,Ub Specific Processing Proteases,Reactome,C2
COPS5,mTORC1 Signaling,Hallmark,C2
KHSRP,Protein Folding,GO Slim,C2
TNPO1,Cilium Assembly,Reactome,C2
USP9X,Regulation Of Protein Catabolic Process,GO:BP,C2
ERGIC1,Golgi Vesicle Transport,GO:BP,C2
FERMT2,Positive Regulation Of Protein Localization To Nucleus,GO:BP,C2
FUBP1,Unmapped,NA,C2
PBXIP1,Unmapped,NA,C2
GALM,Unmapped,NA,C2
PPP1R14B,Unmapped,NA,C2
AP2M1,Mhc Class Ii Antigen Presentation,Reactome,C2
MSI2,Rho Gtpase Cycle,Reactome,C2
MMAB,Unmapped,NA,C2
S100A16,Unmapped,NA,C2
PDXP,Unmapped,NA,C2
DDRGK1,Regulation Of Protein Catabolic Process,GO:BP,C2
TMX3,Unmapped,NA,C2
USP47,Ub Specific Processing Proteases,Reactome,C2
ALPK3,Unmapped,NA,C2
JSRP1,Unmapped,NA,C2
GFM1,Translation,Reactome,C2
TBCB,Protein Folding,GO Slim,C2
PFDN5,Protein Folding,GO Slim,C2
VAT1,Neutrophil Degranulation,Reactome,C2
S100A13,Establishment Of Organelle Localization,GO:BP,C2
EIF3C,Cytoplasmic Translation,GO Slim,C2
NAP1L4,Unmapped,NA,C2
MGST2,Unmapped,NA,C2
TSG101,Autophagy,Reactome,C2
CCT7,Protein Folding,GO Slim,C2
APOL2,Unmapped,NA,C2
FYCO1,Microtubule-Based Movement,GO Slim,C2
VPS25,Vesicle Organization,GO:BP,C2
ERP44,Protein Folding,GO Slim,C2
ESYT1,Rho Gtpase Cycle,Reactome,C2
DCTN5,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
TMEM43,Unmapped,NA,C2
TUBB6,Cilium Assembly,Reactome,C2
TMEM109,Unmapped,NA,C2
TPPP3,Unmapped,NA,C2
FUNDC2,Unmapped,NA,C2
OSBPL11,Rho Gtpase Cycle,Reactome,C2
AP1M1,Mhc Class Ii Antigen Presentation,Reactome,C2
UBE2O,Class I Mhc Mediated Antigen Processing Presentation,Reactome,C2
ANKRD2,Unmapped,NA,C2
NAA50,Unmapped,NA,C2
TOLLIP,Neutrophil Degranulation,Reactome,C2
RAB1B,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
NUCKS1,Unmapped,NA,C2
SLK,Rho Gtpase Cycle,Reactome,C2
LRMDA,Unmapped,NA,C2
TMEM245,Unmapped,NA,C2
TMX1,Regulation Of Protein Catabolic Process,GO:BP,C2
CHMP4B,M Phase,Reactome,C2
TOR1AIP2,Protein Localization To Nucleus,GO:BP,C2
GLIPR2,Unmapped,NA,C2
EHD1,Cilium Organization,GO Slim,C2
UBE2Z,Class I Mhc Mediated Antigen Processing Presentation,Reactome,C2
GORASP2,M Phase,Reactome,C2
JPT2,Unmapped,NA,C2
GRPEL1,Protein Folding,GO Slim,C2
CACYBP,mTORC1 Signaling,Hallmark,C2
PREB,Unfolded Protein Response,Hallmark,C2
APMAP,Unmapped,NA,C2
RAB18,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
PALMD,Unmapped,NA,C2
VTA1,Vesicle Organization,GO:BP,C2
RTN4,Regulation Of Protein Stability,GO:BP,C2
XPNPEP1,Unmapped,NA,C2
SAR1A,Golgi Vesicle Transport,GO:BP,C2
SH3GLB2,Unmapped,NA,C2
OSTC,Asparagine N Linked Glycosylation,Reactome,C2
FARSB,Translation,Reactome,C2
ARL8B,Reference Arl8 Regulated Microtubule Plus End Directed Transport,KEGG,C2
DPP3,Neddylation,Reactome,C2
ERAP1,Antigen Presentation Folding Assembly And Peptide Loading Of Class I Mhc,Reactome,C2
FAM120A,Unmapped,NA,C2
MAT2B,Ub Specific Processing Proteases,Reactome,C2
LMCD1,Unmapped,NA,C2
CNIH4,Golgi Vesicle Transport,GO:BP,C2
EMC3,Rho Gtpase Cycle,Reactome,C2
MRPL36,Translation,Reactome,C2
LARS1,Translation,Reactome,C2
GNG12,Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,C2
EIF3K,Cytoplasmic Translation,GO Slim,C2
HSPB7,Response To Topologically Incorrect Protein,GO:BP,C2
MLX,Unmapped,NA,C2
SEPTIN9,Cilium Organization,GO Slim,C2
UBQLN2,Variant Mutation Inactivated Ubqln2 To 26s Proteasome Mediated Protein Degradation,KEGG,C2
BCAP29,Golgi Vesicle Transport,GO:BP,C2
CYB5R1,Unmapped,NA,C2
NAGK,Asparagine N Linked Glycosylation,Reactome,C2
DBNL,Neutrophil Degranulation,Reactome,C2
DCTN4,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
HSPB8,Hsf1 Dependent Transactivation,Reactome,C2
VPS28,Regulation Of Protein Catabolic Process,GO:BP,C2
APPL1,Protein Localization To Plasma Membrane,GO Slim,C2
PSME2,Regulation Of Protein Catabolic Process,GO:BP,C2
TBC1D24,Rab Regulation Of Trafficking,Reactome,C2
TMCO1,Response To Endoplasmic Reticulum Stress,GO:BP,C2
STUB1,Regulation Of Protein Catabolic Process,GO:BP,C2
PSMD13,M Phase,Reactome,C2
LIMCH1,Unmapped,NA,C2
MAPRE3,Spindle Organization,GO:BP,C2
EIF3L,Cytoplasmic Translation,GO Slim,C2
NUDC,M Phase,Reactome,C2
FARSA,Translation,Reactome,C2
CNPY2,Unmapped,NA,C2
PADI2,Neutrophil Degranulation,Reactome,C2
SUGT1,Spindle Organization,GO:BP,C2
MEMO1,Unmapped,NA,C2
LUC7L2,Ribonucleoprotein Complex Biogenesis,GO:BP,C2
DHRS7,Unmapped,NA,C2
MOB4,Unmapped,NA,C2
SBDS,Ribosome Biogenesis,GO Slim,C2
PTRH2,Ub Specific Processing Proteases,Reactome,C2
STRAP,Ribonucleoprotein Complex Biogenesis,GO:BP,C2
SAMHD1,Interferon Signaling,Reactome,C2
HBS1L,Unmapped,NA,C2
TLN1,Unfolded Protein Response Upr,Reactome,C2
HYOU1,Protein Folding,GO Slim,C2
ARIH1,Interferon Signaling,Reactome,C2
UCHL5,Regulation Of Protein Catabolic Process,GO:BP,C2
SRPRB,Unfolded Protein Response,Hallmark,C2
COPG1,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
CLIC4,Unmapped,NA,C2
DYNC1LI1,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
MMP24OS,Unmapped,NA,C3
TARS3,Amino Acid Metabolic Process,GO Slim,C3
VWA8,Unmapped,NA,C3
PGP,Unmapped,NA,C3
NUDT19,Protein Localization,Reactome,C3
NDUFS8,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
PDHX,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
DNM1L,Mitochondrion Organization,GO Slim,C3
RTCA,Unmapped,NA,C3
NDUFA4,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
CES2,Fatty Acid Metabolic Process,GO:BP,C3
SDHD,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
COX7A2L,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFAB1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
OPLAH,Sulfur Compound Metabolic Process,GO:BP,C3
MGST3,OXPHOS,Hallmark,C3
RGS12,Unmapped,NA,C3
UQCRQ,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
MYL12B,Unmapped,NA,C3
UQCR11,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFA1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
BCAT2,Amino Acid Metabolic Process,GO Slim,C3
NDUFS4,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
AKR7A2,Ketone Metabolic Process,GO Slim,C3
TIMM44,Mitochondrial Protein Import,Reactome,C3
CHMP2A,Unmapped,NA,C3
NDUFB5,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFB3,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFA2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
SGTA,Protein Localization,Reactome,C3
SLC25A20,OXPHOS,Hallmark,C3
IDH3B,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFS5,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
TIMM8A,Mitochondrion Organization,GO Slim,C3
OPA1,OXPHOS,Hallmark,C3
PFKFB2,Generation Of Precursor Metabolites And Energy,GO Slim,C3
NOL3,Mitochondrion Organization,GO Slim,C3
CLASP2,Unmapped,NA,C3
CLUH,Mitochondrion Organization,GO Slim,C3
COQ9,Cellular Respiration,GO:BP,C3
NDUFS7,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFS2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NIPSNAP2,Cellular Respiration,GO:BP,C3
NDUFS6,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
CS,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
MTX2,OXPHOS,Hallmark,C3
NDUFB1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
PMPCB,Mitochondrial Protein Import,Reactome,C3
NDUFS3,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
ECI2,Protein Localization,Reactome,C3
LYPLA1,Fatty Acid Metabolic Process,GO:BP,C3
SLC25A12,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
SCO1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
ALDH1L1,Generation Of Precursor Metabolites And Energy,GO Slim,C3
ATP5PD,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
ATP5MG,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
TPPP,Unmapped,NA,C3
BAIAP3,Unmapped,NA,C3
TOMM70,OXPHOS,Hallmark,C3
NDUFB6,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFA3,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFB4,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFB8,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFA7,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
LETM1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFC2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
NDUFA10,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
PGLS,Generation Of Precursor Metabolites And Energy,GO Slim,C3
MPC2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
ETHE1,Sulfur Compound Metabolic Process,GO:BP,C3
CAVIN2,Adipogenesis,Hallmark,C3
MLYCD,Protein Localization,Reactome,C3
AIFM1,OXPHOS,Hallmark,C3
NUDT3,Nucleotide Metabolic Process,GO:BP,C3
NDUFB10,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
TOMM40,Mitochondrion Organization,GO Slim,C3
PEX11B,Protein Localization,Reactome,C3
GLUD1,OXPHOS,Hallmark,C3
MT-CO2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
MT-CO3,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
GOT2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
ASS1,Amino Acid Metabolic Process,GO Slim,C3
FN1,Unmapped,NA,C3
MT-ND1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
MT-ND2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
MT-ND3,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
MT-ND4,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
MT-ND5,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
MT-ATP8,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
SOD2,Cellular Respiration,GO:BP,C3
SLC25A5,OXPHOS,Hallmark,C3
PCCA,Amino Acid Metabolic Process,GO Slim,C3
PCCB,Mitochondrial Protein Degradation,Reactome,C3
FABP3,Ketone Metabolic Process,GO Slim,C3
ATP5F1B,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
UQCRH,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
FH,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
SOD3,Unmapped,NA,C3
PDHA1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
CYC1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
ACAA1,OXPHOS,Hallmark,C3
RBP1,Organic Anion Transport,GO:BP,C3
COX6C,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
FDX1,OXPHOS,Hallmark,C3
COX8A,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
GAA,Generation Of Precursor Metabolites And Energy,GO Slim,C3
DLAT,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
COX5B,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
HSPD1,Mitochondrion Organization,GO Slim,C3
PDHB,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
PYGB,Generation Of Precursor Metabolites And Energy,GO Slim,C3
ACADM,OXPHOS,Hallmark,C3
PABPC1,Peroxisome,Hallmark,C3
SLC25A4,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
SLC25A6,OXPHOS,Hallmark,C3
BCKDHA,OXPHOS,Hallmark,C3
COX4I1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
ETFA,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
FDPS,Peroxisome,Hallmark,C3
COX7A2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
SLC2A4,Organic Anion Transport,GO:BP,C3
COX6B1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
JUP,Unmapped,NA,C3
UQCRB,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
FABP4,Adipogenesis,Hallmark,C3
GLUL,Fatty Acid Metabolism,Hallmark,C3
COX7C,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
ACADS,Fatty Acid Metabolism,Hallmark,C3
CD36,Fatty Acid Metabolism,Hallmark,C3
TMEM11,Mitochondrion Organization,GO Slim,C3
GOT1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
CKMT2,Unmapped,NA,C3
NDUFB7,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
ATP5PF,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
HK1,Generation Of Precursor Metabolites And Energy,GO Slim,C3
NDUFV2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3
